Context,Text response,,,,,,,
Apa ana panganan cuci mulut Bali sing kudu dakcoba?,Panganan khas Bali sing kudu dicoba yaiku omelet gulung Bali. Dadar gulung yaiku pancake ijo tipis sing diisi campuran klapa parut lan gula abang. Rasane legi lan ambune wangi saka godhong pandan.,,,,,,,
Apa wedang tradisional Bali sing populer?,Minuman tradisional Bali sing populer yaiku arak. Arak ya iku ombenan alkohol kang digawé saka beras utawa woh-wohan kayata klapa. Sampeyan uga bisa nyoba ombenan non-alkohol kayata es klapa enom utawa jus grapefruit seger.,,,,,,,
Ing endi papan sing paling apik kanggo nyicipi masakan asli Bali?,"Sampeyan bisa ngrasakake kuliner asli Bali ing warung lokal utawa restoran tradisional ing wilayah kayata Ubud, Kuta lan Seminyak. Aja lali nyoba panganan ing pasar tradisional Bali uga kanggo pengalaman kuliner sing luwih otentik",,,,,,,
Apa sing ndadekake masakan Indonesia narik kawigaten para wisatawan?,"Indonesia nduweni maneka warna kuliner sing sugih rasa, kayata rendang.",,,,,,,
Apa daya tarik wisata kuliner ing Indonesia?,Panganan Indonesia dadi daya tarik utama para wisatawan sing golek pengalaman kuliner unik kayata sega tumpeng.,,,,,,,
Apa kuliner khas Indonesia sing paling misuwur?,Salah satunggaling jajanan khas Indonesia ingkang narik kawigatosan wisatawan inggih menika sekul goreng.,,,,,,,
Panganan apa sing kudu dicoba para wisatawan nalika ngunjungi kutha Medan?,Jajanan khas Medan sing disenengi para wisatawan nalika dolan menyang kutha Medan yaiku mie bika ambon lan mie gomak.,,,,,,,
Apa panganan sing disaranake nalika menyang Padang?,Masakan Indonesia kayata sate Padang minangka salah sawijining daya tarik utama para wisatawan sing golek pengalaman panganan sing unik ing Padang.,,,,,,,
"Punapa ingkang ndadosaken warisan kuliner Malang menika misuwur ing antawisipun kutha-kutha sanesipun ing Jawa Timur, Indonesia?","Malang iku sawijining kutha ing Jawa Wétan, Indonésia sing misuwur kanthi warisan kuliner sing sugih.",,,,,,,
"Apa sampeyan bisa nerangake ciri khas ""Bakso Malang"" lan ing ngendi bisa ditemokake ing Malang?","Salah sawijining panganan sing kudu dicoba ing Malang yaiku ""Bakso Malang,"" sup bakso Indonesia sing misuwur.",,,,,,,
Apa sawetara conto panganan jalanan lan restoran kelas atas sing nawakake pengalaman kuliner sing khas ing Malang?,"Malang nawakake macem-macem pengalaman kuliner, saka warung jajanan kanggo restoran kelas atas.",,,,,,,
"Apa bahan utama lan rasa sing nemtokake masakan tradisional Jawa kaya ""Nasi Pecel"" lan ""Ayam Goreng"" ing Malang?","Pengunjung ing Malang uga bisa njelajah kuliner tradisional Jawa, kayata “Nasi Pecel” lan “Ayam Goreng”.",,,,,,,
"Apa jinis jajanan lan bahan-bahan jajanan asli Jawa sing bisa ditemokake wisatawan ing Pasar Besar Malang, lan apa sing ndadekake pasar iki kudu dikunjungi para penggemar kuliner?","Pasar lokal, Pasar Besar Malang, minangka papan sing nyenengake kanggo nyicipi jajanan lan bahan-bahan asli Jawa.",,,,,,,
"Dessert manis apa sing paling misuwur ing Malang, lan apa bahan utama ing panganan iki?",Malang misuwur kanthi panganan manis sing enak.,,,,,,,
Kepriye rasane panganan tiwul sing wis dituku?,Tiwul sing tak tuku wingi rasane kenyal lan gurih.,,,,,,,
Apa menu andalan ing lapak sing bakal sampeyan kunjungi?,Warung ingkang badhe kula tuju menika gadhah menu andalan inggih menika rawon.,,,,,,,
"Miturut bapakmu, apa sing dadi bahan utama ing pecel?","Jare bapakku, bahan utama pecel yaiku sambel kacang.",,,,,,,
Apa panganan khas Jawa Timur sing disenengi simbah?,Simbah seneng panganan khas Jawa Timur yaiku sate komoh.,,,,,,,
Apa sing ditawakake Warung Tegal sing gegandhengan karo panganan Minangkabau?,"Penawaran saking Warung Tegal ingkang gayut kaliyan dhaharan Minangkabau inggih menika Nasi Padang ingkang maneka warna lawuh khas kados ta rendang, kari ayam, sambal balado, lan sanes-sanesipun.",,,,,,,
Apa bedane mie ayam karo mie cwie?,Mie ayam cenderung rasane luwih manis dene mie Cwie rasane luwih asin,,,,,,,
Carane masak rendang?,Rendang dimasak nganggo bumbu lan santen nganti empuk.,,,,,,,
Apa jenenge jajanan khas Indonesia sing digawe saka singkong?,Panganan rempeyek kacang digawe saka singkong goreng karo saos kacang.,,,,,,,
Kenging punapa dhaharan ing Ngayogyakarta kadosta gudeg menika identik kaliyan rasa ingkang legi?,"Leginipun panganan saking Jawa Tengah menika amargi filosofinipun, inggih menika ing jaman rumiyin kawontenan alam Jawi kathah sanget kaliyan wit klapa, saengga kathah tiyang ingkang ngginakaken.",,,,,,,
Piye rasane kue lapis?,Kue lapis nduweni rasa manis sing khas,,,,,,,
Apa sing ndadekake warung sate Pak Daman rame karo pengunjung saka njaba kutha?,Pancen warung sate Pak Daman ing Blora nduweni daging sing empuk lan bumbu sing unik.,,,,,,,
Apa sambal khas kanggo panganan bebek ireng Madura?,Sambal pelem biasanipun tansah nglengkapi gurih bebek goreng kaliyan bumbu ireng.,,,,,,,
Apa rendang wajib disajikake ing tradhisi Minangkabau?,Rendang kudu disedhiyakake ing saben pahargyan tradhisional ing tradhisi Minangkabau kanggo nampa tamu kehormatan,,,,,,,
Kenapa tahu sumedang rasane luwih asin tinimbang tahu biasa?,"Wonten ing proses produksi, tahu Sumedang dipunwuwuhi kaliyan uyah saengga ndadosaken tahu Sumedang gadhah rasa asin nalika digoreng.",,,,,,,
Kepiye carane nggawe sega goreng sing enak kaya sing digawe ibu?,"Ibu tansah gawe sega goreng kanthi bumbu rahasia, salah sijine yaiku minyak bawang lan kecap manis setengah sendok lan kecap asin setengah sendok.",,,,,,,
Apa panganan khas daerah Jawa Tengah ing Indonesia?,"Jajan khas saka Jawa Tengah kalebu nasi gudeg, soto ayam, lan jajanan kayata bakpia.",,,,,,,
"Apa panganan khas Manado, Sulawesi Utara?",Panganan khas Manado yaiku bubur Manado sing terkenal rasane pedhes lan pedhes.,,,,,,,
Apa kerak endhog lan saka ngendi asale?,Kerak Telor yaiku panganan khas Betawi sing digawe saka ketan lan endhog karo bumbu serundeng klapa,,,,,,,
Apa sing dimaksud rawon ing masakan Jawa Timur?,rawon iku panganan saka sup daging sapi sing ireng amarga nganggo kluwek,,,,,,,
Apa panganan manis sing digawe saka ketan lan gula klapa sing dibungkus godhong gedhang?,"Kue Bugis ya iku panganan sing legi saka Sulawesi Kidul sing digawé saka ketan lan gula klapa, banjur dibungkus godhong gedhang.",,,,,,,
Apa panganan tradisional Batak sing kasusun saka sega sing disusun ing kranjang anyaman pring?,Nasi Bakar ya iku panganan tradhisional Batak sing isiné sega sing ditata ing kranjang anyaman pring lan dibakar.,,,,,,,
Apa sing dimaksud ayam betutu ing masakan Bali?,Ayam betutu ya iku panganan pitik sing dilapisi bumbu banjur dibakar.,,,,,,,
Apa sing dimaksud gudeg ing kuliner Yogyakarta?,Gudeg yaiku panganan khas Yogyakarta sing digawe saka nangka enom sing dimasak nganggo santen lan gula abang.,,,,,,,
Apa panganan cuci mulut sing digawe saka waluh lan gula abang ing Indonesia?,Waluh kolak yaiku panganan cuci mulut sing digawe saka waluh kuning sing dimasak nganggo gula abang lan santen.,,,,,,,
Apa sing dimaksud iwak bakar Jimbaran ing Bali?,Iwak bakar Jimbaran ya iku sajian iwak bakar khas Bali sing disuguhi bumbu lan sambel pedhes.,,,,,,,
Apa panganan unik saka Kalimantan Barat sing digawe saka jeroan kebo?,Soto banjar yaiku panganan khas Kalimantan Barat sing digawe saka jeroan kebo lan disajikake ing saus sing enak.,,,,,,,
Apa sing dimaksud otak-otak ing kuliner Indonesia?,Otak-otak yaiku panganan sing digawe saka iwak cincang sing dibungkus godhong gedhang lan dibakar utawa dikukus.,,,,,,,
Apa sing dimaksud es dawet ing kuliner Jawa Tengah?,"Es dawet ya iku ombenan adhem sing digawé saka cendol, santen lan gula abang, asring disuguhaké karo es serut.",,,,,,,
Apa panganan khas Maluku sing digawe saka iwak lan santen?,Papeda yaiku panganan khas Maluku sing digawe saka pati sagu sing disuguhake karo kecap iwak lan santen.,,,,,,,
Apa panganan unik saka Malang Jawa Timur sing digawe saka pitik lan klapa?,Ayam bakar klapa inggih menika masakan khas Malang ingkang awujud pitik panggang ingkang dipundhut serundeng klapa.,,,,,,,
Kepriye rasane klepon khas Pasuruan?,Rasa klepon menehi rasa manis gula abang sing leleh ing tutuk,,,,,,,
Pira bahan kang digunakake kanggo nggawe brownies?,Ana 12 bahan kanggo nggawe brownies kukus,,,,,,,
Wonten pundi ingkang sae kangge dodolan kupang?,Panggonan sing paling apik kanggo dodolan kupang ing kene yaiku ing Sidoarjo,,,,,,,
Apa panganan sing paling disenengi?,"Aku seneng panganan ramen ing Lippo Mall, Sidoarjo",,,,,,,
Ibu seneng masak apa?,Ibu tansah masak udang asem,,,,,,,
Panganan apa sing disenengi nalika ngunjungi Yogyakarta?,Aku seneng Gudeg Jogja amarga rasane enak banget,,,,,,,
Apa panganan khas kutha Palembang?,Jajanan khas Palembang sing tak senengi yaiku pempek,,,,,,,
Apa sing sampeyan senengi babagan panganan khas kuthaku?,"Nalika aku menyang kuthamu, yaiku Malang, aku seneng panganan bakso",,,,,,,
Jajan apa sing kerep dituku nalika lelungan menyang Yogyakarta?,Saben tindak menyang Ngayogyakarta tansah tuku jajan bakpia,,,,,,,
Apa kowe wis tau mangan sega pecel?,Sega pecel pancen enak,,,,,,,
Panganan khas apa sing kudu sampeyan coba yen sampeyan ngunjungi kutha Jakarta?,Panganan sing kudu dicoba nalika neng Jakarta ya iku kulit endhog,,,,,,,
Apa ana restoran utawa warung favorit sing nawakake masakan khusus?,"Aku pancen seneng banget karo restoran 'Santap Enak' sing ana ing pojok, dheweke duwe sate ayam khusus sing luar biasa.",,,,,,,
Jajanan tradhisional apa wae kang asring disuguhake ing pahargyan khusus ing Kediri?,"Ing kene, ing perayaan khusus kayata Idul Fitri, kita kerep nyedhiyakake panganan tradisional kayata ketupat lan opor ayam.",,,,,,,
Opo cinderamata khas Kediri?,Cinderamata khas Kediri yaiku gethuk gethuk yaiku panganan sing digawe saka gedhang.,,,,,,,
Opo panganan favorit kulawarga?,"Resep favorit kulawarga yaiku soto ayam. Saben dina Minggu, kita ngumpul kanggo nikmati semangkuk soto sing enak bebarengan.",,,,,,,
Apa kuliner khas Malang?,Bakso iku kuliner khas Malang,,,,,,,
Nasi Padang iku panganan khas daerah?,Nasi Padang mesthi panganan khas Padang sing rasane enak,,,,,,,
Cemilan pasar ijo apa sing ngandhut gula abang?,Salah sijine jajanan pasar sing wernane ijo lan isine gula merah yaiku klepon,,,,,,,
Wonten pundi papan kuliner ingkang adol maneka warni kuliner ingkang wonten ing Malang?,"Pasar Oro-Oro Dowo adol macem-macem panganan wiwit saka bakso goreng, mudball, lan liya-liyane.",,,,,,,
Apa oleh-oleh paling apik ing Malang?,Salah sijine oleh-oleh kuliner sing enak saka Malang yaiku Lapis Tugu Malang,,,,,,,
Apa jenenge panganan khas Madura iki?,Panganan khas kutha Madura yaiku sate,,,,,,,
Apa jenenge jajanan sing bentuke bunder lan isine kacang ijo?,"Jajan pasar sing malah didol ing mall isine kacang ijo, yaiku onde-onde",,,,,,,
Panganan apa saka Makassar?,Makassar duwe panganan khusus sing diarani coto Makassar sing isine daging,,,,,,,
Rujak cingur asale saka kutha endi?,Kutha Surabaya duwe panganan khusus sing diarani Rujak Cingur,,,,,,,
Apa jeneng panganan sing digawe saka kacang kedelai?,Panganan tradisional saka Indonesia sing digawe saka kedhele yaiku tempe,,,,,,,
Panganan apa sing biasane dipangan nalika Idul Fitri?,Jajanan khas Indonesia sing kerep ditemoni nalika Idul Fitri yaiku opor ayam,,,,,,,
Apa panganan pokok wong Indonesia?,Nasi utawa sega minangka panganan pokok ing Indonésia,,,,,,,
Cemilan pasar apa ana kismis ing tengah?,Kue lumpur sing didol ing pasar akeh ana kismis ing tengah,,,,,,,
Apa panganan khas Jogja?,Gudeg minangka panganan khas Jogja sing ora kudu dilalekake,,,,,,,
Apa wedang khas Jogja sing isine areng?,"Jogja nduwe wedang khusus sing isine areng panas, wedange jenenge Kopi Joss",,,,,,,
Apa iku es selendang mayang?,Es selendang mayang ya iku ombenan khas Betawi sing nyampur kue kenyal saka glepung hunkwe sing disiram santen lan saos gula.,,,,,,,
Apa resep rujak tradisional favorit ing Indonesia?,"Resep rujak tradhisional sing paling disenengi ing Indonesia yaiku rujak woh, sing kasusun saka campuran woh-wohan seger kayata pelem, nanas, jambu, lan timun sing disuguhake karo saus rujak sing manis lan pedhes.",,,,,,,
Apa pendapatmu babagan Bika Ambon?,"Bika Ambon ya iku kue tradisional Indonésia sing asalé saka Medan, Sumatra Lor. Kue iki misuwur kanthi tekstur sing lembut lan manis, lan nduweni rasa sing unik amarga nggunakake bahan kayata santen, endhog, gula lan glepung gandum.",,,,,,,
Apa panganan khas Lamongan?,"Nasi Boranan ya iku panganan khas Lamongan sing awujud sega, bumbu boranan, lawuh lan rempeyek kacang.",,,,,,,
Apa sing unik saka Nasi Krawu Gresik?,"Ciri khas Nasi Krawu Gresik yaiku disedhiyakake karo serundeng klapa lan macem-macem lawuh wiwit saka daging sapi, rebusan daging sapi utawa jeroan daging sapi.",,,,,,,
Souvenir khas Gresik apa sing kudu dituku?,"Salah sijine oleh-oleh wajib khas Gresik Jawa Timur yaiku pudak sing digawe saka glepung beras, santen lan gula aren.",,,,,,,
Apa panganan olahan khas Wonogiri?,Singkong kuwe panganan khas Wonogiri sing digawe saka singkong utawa singkong.,,,,,,,
Panganan apa sing cocok kanggo sarapan nalika dolan ing Jombang?,Soto Dok bisa didadekake salah sijine menu sarapan Jombang sing disaranake.,,,,,,,
Apa sampeyan duwe rekomendasi panggonan kanggo mangan bebek ireng khas Madura?,Salah sawijine papan sing misuwur kanggo mangan bebek ireng yaiku Bebek Soponyono sing ana ing sacedhake kreteg Suramadu.,,,,,,,
Apa ciri khas panganan garang asem sing asale saka Jawa Tengah?,Ciri khas ayam garang asem yaiku dimasak dibungkus godhong gedhang lan didominasi rasa kecut lan pedhes.,,,,,,,
Apa bedane tengkleng khas Solo karo kari wedhus?,"Beda karo kari sing bahan dhasare yaiku daging wedhus, tengkleng khas Solo nduweni tengkleng minangka bahan dhasare arupa balung lan jeroan.",,,,,,,
Apa jenenge sate khas Lombok?,Salah sawijine panganan khas Sasak ing Pulo Lombok sing khas banget kanggo para pemburu panganan kuliner yaiku sate bulayak.,,,,,,,
Apa sing unik saka sate kere khas Solo?,"Sing unik saka sate kere Solo yaiku digawe saka tempe gambus, yaiku tempe sing digawe saka ampas tahu.",,,,,,,
Apa gorengan khas Jawa Timur?,"Panganan goreng Jawa Timur sing misuwur yaiku ote-ote, sing isine pitik, kerang, iwak utawa sayuran cincang.",,,,,,,
Kuliner apa sing kudu sampeyan coba nalika ngunjungi Sidoarjo?,Lontong kupang ya iku jajanan kuliner khas Sidoarjo awujud irisan lontong ing kaldu disuguhi karo taburan daging kupang.,,,,,,,
Panganan apa sing kudu sampeyan coba nalika menyang Madura?,Sate Madura minangka panganan khas Madura sing rasane enak amarga nduweni ciri khas kuah kacang.,,,,,,,
masakan khas makassar?,Coto Makassar lan konro bakar iku panganan khas Makassar sing enak lan sugih bumbu.,,,,,,,
Apa panganan khas saka Papua?,Papeda minangka panganan khas Papua sing digawe saka sagu lan iwak utawa saus daging sing nggawe masakan khas.,,,,,,,
Saka ngendi asale kue blok?,"Kue blok sing asale soko Bandung minangka panganan manis sing misuwur ing kutha iki, digawe saka adonan kenthel sing dipanggang kanthi rasa gula abang sing enak",,,,,,,
Apa panganan Bali sing misuwur banget?,"Lawar, sajian salad Bali sing digawe saka sayuran, klapa parut lan rempah-rempah Bali kayata terasi, minangka panganan sing sehat lan enak.",,,,,,,
Apa bumbu kang digunakake ing rendang?,"Rendang digawe nganggo bawang merah, bawang putih, jahe lan lengkuas.",,,,,,,
Saka ngendi asale panganan rujak cingur?,Rujak cingur ya iku panganan khas Surabaya sing nganggo cangkem utawa moncong sapi,,,,,,,
Kepiye carane sampeyan mbedakake Soto Betawi karo Soto Ayam?,"Soto Betawi nganggo santen lan daging sapi, dene Soto Ayam nganggo ayam lan sambel kuning",,,,,,,
Panganan manis tradisional apa sing kudu dicoba ing Jawa?,Panganan manis sing wajib dicoba yaiku jenang gerendul,,,,,,,
Gethuk gethuk iku panganan khas saka ngendi?,Gedhang gethuk minangka panganan khas saka Keridi sing bahan utama yaiku gedhang,,,,,,,
Panganan apa sing cocog kanggo sarapan ing kutha Yogyakata?,Gudeg cocok gae sarapan ndek Yogyakarta,,,,,,,
Apa sing diarani medan culinary lan misuwur?,Medan Sate Gomak minangka kuliner sing sugih banget lan enak,,,,,,,
Apa panganan pokok papuan sing unik banget?,Papya minangka panganan pokok khas saka papua sing biasane disuguhake kanthi saos kuning utawa saus daging.,,,,,,,
Endi papan mangan sing misuwur ing kutha Pontianak?,"Restoran Saung Balibu misuwur ing Pontianak, Kalimantan Barat kanthi nylametake sajian Melayu lan Cina.",,,,,,,
Apa panganan khas saka Sulawesi Lor?,"Woku minangka sajian sup, sing duwe rasa sing ora asem, pedhes, lan wangi sing nuduhake kasugihan kuliner saka wilayah kasebut.",,,,,,,
Apa sebabe panganan Indonesia dadi objek wisata nalika liburan ing Indonesia?,"Panganan Indonesia dadi daya tarik utama kanggo turis manca, utamane amarga macem-macem rasa lan aroma sing luar biasa.",,,,,,,
Apa panganan khas Indonesia sing sugih rasa?,Rendang minangka panganan khas Indonesia kanthi rempah-rempah sing sugih,,,,,,,
Apa panganan favorit sampeyan ing Rezpecto Restaurant?,Restaurant serves masakan khas Italia karo pasta seger.,,,,,,,
Mangan apa nalika liburan menyang Bali?,"Nalika liburan, dheweke mburu kuliner khas Bali.",,,,,,,
Apa panganan khas Betawi?,Kerak endhog minangka salah sawijining panganan khas Betawi,,,,,,,
Piye rasane panganan papeda?,Papeda nduweni rasa hambar ing ilat,,,,,,,
Kenging punapa rendang dipunwastani panganan ingkang sepisanan ing donya?,Rendang disiapake kanthi rempah-rempah sing nduweni rasa asin lan pedhes sing dominan,,,,,,,
Tempat jajanan khas Jogja endi sing dadi favoritmu?,Gudeg Yu Jum misuwur kanthi rasa gudeg asli,,,,,,,
Apa cinderamata khas Bali?,Pie Susu Bali minangka salah sawijining oleh-oleh khas Bali,,,,,,,
Apa panganan sing kudu sampeyan coba nalika liburan menyang Malang?,Bakso Malang dadi pilihan panganan sing cocok kanggo dipangan,,,,,,,
Napa mie gacoan supaya bisa njaluk lan populer ing Indonesia?,Mie gacoan sing misuwur kanggo rasa pedhes lan rega sing murah banget,,,,,,,
Apa jajanan tradisional sing asring didol ing toko Indonesia?,"Pastel minangka salah sawijining jajanan favorit, kalebu kulit roll spring goreng lan kapenuhan macem-macem variasi kayata sayuran utawa daging.",,,,,,,
Apa spesialis sing kudu dicoba ing Yogyakarta?,"Gethuk, jinis jajan saka sampeu sing manis lan chewy.",,,,,,,
Apa minuman manis sing paling disenengi ing Indonesia?,"ICE TER, campuran woh-wohan sing seger kanthi es es sing dicukur lan susu klapa.",,,,,,,
Apa sajian khas sing misuwur ing Bali?,"Bolsters daging babi yaiku sajian tradisional Bali sing dumadi saka babi sing dibakar kanthi rempah-rempah, ngasilake kulit garing lan daging sing enak.",,,,,,,
Kowe arep mangan apa bengi iki?,Aku pengen banget mangan sate ayam pinggir dalan bengi iki,,,,,,,
Pira regane pitik bakar lan es teh ing warung iku?,Regane pitik bakar lan es teh ing kantin kampus Rp. 12.000,,,,,,,
Apa sing ditindakake ing kafe iku?,Dheweke lagi njupuk foto kopi lan roti sing dipesen ing warung sore iki,,,,,,,
Kowe arep tuku ayam goreng ning endi?,Ibu tindak tuku pitik goreng limang porsi ing restoran cedhak pasar sore iki,,,,,,,
Ing endi kita bisa tuku jajan iku?,Kue coklat iki bisa dituku ing toko roti sing misuwur saiki,,,,,,,
apa sing arep kita lakoni bengi iki?,kita bakal main ing Batu Night Spectacular bengi iki,,,,,,,
Sapa sing bakal ngajak kita menyang Batu Night Spectacular bengi iki?,Bapak arep ngeterake mobil bengi iki,,,,,,,
Kegiatan sing biasane ditindakake wong ing Batu Night Spectacular?,Biasane wong njupuk foto lan dolanan macem-macem wahana ing Batu Night Spectacular,,,,,,,
Suwene suwene kanggo lelungan saka Batu kanggo Bromo?,Perjalanan saka Batu menyang Bromo biasane udakara 3 jam,,,,,,,
pira regane sewa kendaraan ing Bromo?,Rega sewa jeep wiwit 500 ewu nganti 1 yuta rupiah,,,,,,,
Apa sing biasane sampeyan gawa nalika arep menyang Gunung Bromo?,Aku biasane nggawa jaket lan topi menyang Gunung Bromo,,,,,,,
Di manakah lokasi Night Spectacular Stone?,"Batu Night Spectacular dumunung ing Batu, cedhak kutha Malang, Jawa Wétan",,,,,,,
Kok Gunung Bromo rame pengunjung?,amarga Bromo nduweni pemandangan gunung sing apik lan hawane adem,,,,,,,
Kalung iki digawe saka apa?,Kalung iki digawe saka mutiara sing dijupuk saka segara,,,,,,,
iku luwih apik kanggo nyewa jeep utawa ATV?,"Miturutku, luwih becik awake dhewe nyewa jeep, amarga luwih aman",,,,,,,
Ngendi kanggo nikmati es krim kanthi macem-macem rasa?,Es krim kanthi macem-macem rasa bisa dinikmati ing macem-macem bakul es krim lokal.,,,,,,,
Ombenan apa sing cocok kanggo cuaca panas ing Indonesia?,"Es Teler, wedang seger kang isine woh-wohan, alpukat, klapa enom lan es serut, cocok kanggo cuaca panas ing Indonesia.",,,,,,,
Ing endi bapak seneng kulit endhog?,Bapak seneng kerak telor yaiku panganan khas Betawi sing digawe saka ketan lan endhog pitik ing dhaerah cedhak Monas.,,,,,,,
Apa bahan bakune ketoprak sing mbok gawe?,"Aku gawe ketoprak karo bahan baku tahu, tauge, lan lontong karo sambel kacang.",,,,,,,
Ing endi sampeyan bisa nemokake pitik goreng krim?,"Pitik goreng kremes, panganan goreng sing disiram krim sing enak, mesthi ditemokake ing Jawa Tengah.",,,,,,,
Kok senengane tuku gudeg nang Yogyakarta?,Aku seneng tuku gudeg ing Yogyakarta amarga rasane enak lan panganan khas Yogyakarta,,,,,,,
Kuliner apa sing paling disenengi Rini nalika ing Lamongan?,Rini tansah seneng soto khas Lamongan sing rasane koya sing enak lan menggoda nalika menyang Lamongan.,,,,,,,
Rio seneng bakso Malang nang endi?,Rio seneng mangan bakso Malang nang pinggir dalan amarga luwih enak sinambi menikmati suasana kota Malang.,,,,,,,
Apa menu sarapanmu esuk ing Sumatra?,"Nasi Padang, panganan khas Sumatera sing akeh varian rempah-rempah sing unik dadi menu sarapanku esuk iki.",,,,,,,
Kok seneng mangan sate Madura?,"Sampeyan mesthi mangan sate Madura amarga nduweni rasa gurih, ketan, pedhes, kecut lan manis.",,,,,,,
Apa wedang sing pas kanggo diombe ing wayah awan ing kutha Malang?,"Kahanan cuaca ing kutha Malang saiki panas banget, cocok kanggo ngrasakake es Mendut ing wayah awan",,,,,,,
Apa ciri-ciri sing mbedakake bakso Malang karo bakso liyane?,"Kutha Malang misuwur nduweni kuliner khas, salah sijine yaiku Bakso Malang kang nduweni rasa kang unik.",,,,,,,
Piye rasane jajanan gethuk?,Gethuk gethuk iku jajanan legendaris saka Kediri sing nduweni rasa asem manis sing khas,,,,,,,
Bahan apa sing digunakake kanggo ngolah Slondok?,"Slondok Krupuk khas Magelang yaiku jajanan sing asale saka singkong kanthi proses khusus lan dawa saengga ngasilake rasa sing enak, gurih, renyah lan rada pedhes.",,,,,,,
Apa salah sawijining kuliner khas kutha Mataram?,Sambel cabe khas Mataram cukup misuwur amarga rasane beda karo liyane lan akeh variane.,,,,,,,
Tempe terbuat saka apa?,Tempe iku jenenge kuliner khas Indonesia sing dibuat saka kedelai.,,,,,,,
Apa panganan khas Palembang?,"Kuliner khas Palembang, pempek, rasane digarap enak lan sedhap banget.",,,,,,,
Kayata opo rasa gudeg?,Gudeg dikenal amarga rasane manis lan dibuat saka nangka muda sing diolah karo santan.,,,,,,,
Apa inggil saka bakso?,"Bakso disajiki karo kuah gurih lan ditambahi mie kuning, bihun, tahu, lan berbagai pelengkap liyane.",,,,,,,
Apa masakan tradisional saka Buton?,"Kabuto, sing dibuat saka ubi lan singkong sing dikeringi lan dipundhiakeni jamur.",,,,,,,
Kayata carane proses nggawe pisang epe?,"Pisang epe digawe saka pisang kepok sing kemudian dibakar setengah matang, terus dipipihaken.",,,,,,,
Apa sarapan favorit Indonesia?,"Soto, sup ayam karo kuah kunir, bawang goreng, lan perasan jeruk limo iku sarapan favorit ing Indonesia.",,,,,,,
Saka manawa hidangan ayam betutu?,"Ayam betutu iku hidangan Bali sing nyambungake ayam karo rempah-rempah khas, terus dibungkus karo daun pisang.",,,,,,,
Opone rasa saka es cendol?,Es cendol iku minuman manis karo potongan cendol lan santan gula merah sing menyegarkan.,,,,,,,
Apa inggil lan pelengkap sing sering disajikan karo nasi tumpeng?,"Biasane disajiki karo pelengkap-pelengkap macem ayam goreng, telur balado, tahu lan tempe, sayur-sayuran, lan liyane.",,,,,,,
Apa masakan khas sing paling terkenal saka Riau?,Ikan asam pedas iku sajian ikan sing dimasak karo bumbu asam pedas sing khas.,,,,,,,
Apa masakan khas saka Kalimantan lan apa sing nandangakené istimewa?,Soto Banjar iku hidangan sup tradisional saka suku Banjar ing Kalimantan Selatan sing nduwé istimewa amarga bumbu khasé.,,,,,,,
Piye rasane nasi kuning?,Sega kuning menehi rasa gurih lan rada pedhes amarga dimasak nganggo kunir lan klapa.,,,,,,,
Cemilan apa sing cocok kanggo ngombe kopi?,Biasane roti utawa biskuit sing paling cocok karo wedang kopi,,,,,,,
Kepiye carane nggawe kerak endhog?,"Kulit endhog digawe saka bahan olahan sing kalebu endhog, klapa, ketan putih lan udang garing.",,,,,,,
Apa bahan utama ing panganan apem?,"Bahan utama kanggo nggawe apam yaiku beras, gula klapa lan ragi.",,,,,,,
Apa panganan khas Kalimantan?,Iwak Dayak digawe saka iwak kali sing dibungkus godhong gedhang lan dibakar.,,,,,,,
Piye rasane bebek betutu?,"Bebek Betutu nduweni rasa pedhes, gurih lan rempah-rempah sing kuwat.",,,,,,,
Apa panganan laut sing misuwur ing Kalimantan?,"Kepiting Soka minangka salah sawijining kuliner khas Tanjung Selor, Kalimantan Utara.",,,,,,,
Sate pempek khas Palembang iku jenenge opo?,"Penyajian pempek diiringi saos ireng-coklat, diarani cuka utawa cuko.",,,,,,,
Apa ciri khas lumpia Semarang?,"Keunikan Lunpia Semarang yaiku isine sing digawe saka campuran rebung, endhog lan pitik utawa udang, dibungkus kulit tipis lan garing.",,,,,,,
Cingur utawa irung daging sapi biasane diolah dadi masakan apa?,Rujak cingur yaiku panganan khas Surabaya sing digawe saka cingur utawa irung daging sapi.,,,,,,,
Bumbu apa sing digunakake ing seblak?,"Biasane rempah-rempah sing digunakake kayata saos panas kalebu bawang putih, bawang merah, lengkuas, kecap manis, lan sambel.",,,,,,,
Apa ciri-cirine bebek bumbu ireng Madura?,"Bumbu ireng sing digawe saka lombok, lengkuas, jahe, lengkuas lan kunir ndadekake rasa masakan Madura iki tambah enak.",,,,,,,
Apa bedane mie gomak karo mie liyane?,"Ing babagan wujud fisik, mi gomak luwih gedhe tinimbang mie liyane. Teksture alus lan kenyal lan ora gampang pecah nalika dimasak.",,,,,,,
Bumbu apa sing nggawe saus rawon dadi ireng?,Rawon kang khas werna peteng asale saka wiji keluak.,,,,,,,
Apa bedane Pecel Ramal Sambal ing Malang karo pecel biasa?,Pecel sambal rampal nggunakake sayuran ijo kayata kangkung sing dilapisi sambel kacang pedhes sing disuguhake kanthi tambahan kayata tempe.,,,,,,,
